2019-10-05 05:22:53 INFO  logTranx:8 - Ejecutando : execution(void control.ComandoRetirar.ejecutar(Banco))
2019-10-05 05:22:54 INFO  logTranx:8 - Ejecutando : execution(Cuenta modelo.Banco.buscarCuenta(String))
2019-10-05 05:23:00 INFO  logTranx:8 - Ejecutando : execution(void modelo.Cuenta.retirar(long))
2019-10-05 05:23:00 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:23:00 INFO  ComandoRetirar:46 - Cuenta: 1,retiro: 10000
2019-10-05 05:23:00 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:23:00 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:23:00 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:23:00 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:32:07 INFO  logTranx:8 - Ejecutando : execution(void AppCajero.main(String[]))
2019-10-05 05:32:07 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:32:07 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:32:07 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:32:07 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:32:07 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:32:07 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:32:07 INFO  logTranx:8 - Ejecutando : execution(List cajero.CajeroTipoA.cargaComandos())
2019-10-05 05:32:20 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:32:20 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:32:20 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:32:20 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:32:23 INFO  logTranx:8 - Ejecutando : execution(void control.ComandoRetirar.ejecutar(Banco))
2019-10-05 05:32:24 INFO  logTranx:8 - Ejecutando : execution(Cuenta modelo.Banco.buscarCuenta(String))
2019-10-05 05:32:26 INFO  logTranx:8 - Ejecutando : execution(void modelo.Cuenta.retirar(long))
2019-10-05 05:32:26 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:32:26 INFO  ComandoRetirar:46 - Cuenta: 1,retiro: 12
2019-10-05 05:32:26 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:32:26 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:32:26 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:32:26 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:34:32 INFO  logTranx:8 - Ejecutando : execution(void AppCajero.main(String[]))
2019-10-05 05:34:32 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
